id,alumno_id,profesor_id,periodo_id,fecha,descripcion
1,1,1,1,2024-02-15,"Falta de atención en clase."
2,1,2,1,2024-03-10,"Mostró interés en participar."
3,1,3,2,2024-05-20,"Trabajo incompleto entregado con retraso."
4,1,4,2,2024-06-05,"Excelente exposición oral."
5,1,5,3,2024-08-18,"Uso inadecuado del uniforme escolar."
6,1,1,3,2024-09-12,"Participó activamente en grupo."
7,2,2,1,2024-02-28,"No trajo materiales escolares."
8,2,3,1,2024-04-10,"Respondió correctamente en evaluación sorpresa."
9,2,4,2,2024-05-08,"Comportamiento ejemplar."
10,2,5,2,2024-07-01,"Distracción constante en clase."
11,2,1,3,2024-08-23,"Colaboró con sus compañeros."
12,2,2,3,2024-10-05,"Tuvo dificultad en comprensión lectora."
13,3,3,1,2024-03-03,"Buena asistencia."
14,3,4,1,2024-04-07,"Participación destacada en laboratorio."
15,3,5,2,2024-05-30,"Falta injustificada."
16,3,1,2,2024-06-22,"Recibió felicitación por buena conducta."
17,3,2,3,2024-09-10,"Demostró liderazgo en grupo de trabajo."
18,3,3,3,2024-10-25,"No entregó tarea asignada."
